OID_,ORIG_FID,MERGE_SRC,cat_ID_con,cat_ID,cat_ID_txt,Shape_Length,Shape_Area,AwcHuc12_non_north_area,AwcHuc12_north_area,AwcHuc12_wtd_north_per,AwcHuc12_cat_elev_ZONE_CODE,AwcHuc12_cat_elev_COUNT,AwcHuc12_cat_elev_AREA,AwcHuc12_cat_elev_MIN,AwcHuc12_cat_elev_MAX,AwcHuc12_cat_elev_RANGE,AwcHuc12_cat_elev_MEAN,AwcHuc12_cat_elev_STD,AwcHuc12_cat_elev_SUM,AwcHuc12_cat_elev_VARIETY,AwcHuc12_cat_elev_MAJORITY,AwcHuc12_cat_elev_MINORITY,AwcHuc12_cat_elev_MEDIAN,AwcHuc12_cat_elev_PCT90,AwcHuc12_wtd_elev_MIN,AwcHuc12_wtd_elev_MAX,AwcHuc12_wtd_elev_MEAN,AwcHuc12_wtd_elev_STD,AwcHuc12_wtd_slope_MIN,AwcHuc12_wtd_slope_MAX,AwcHuc12_wtd_slope_MEAN,AwcHuc12_wtd_slope_STD,AwcHuc12_cat_slope_ZONE_CODE,AwcHuc12_cat_slope_COUNT,AwcHuc12_cat_slope_AREA,AwcHuc12_cat_slope_MIN,AwcHuc12_cat_slope_MAX,AwcHuc12_cat_slope_RANGE,AwcHuc12_cat_slope_MEAN,AwcHuc12_cat_slope_STD,AwcHuc12_cat_slope_SUM,AwcHuc12_cat_slope_MEDIAN,AwcHuc12_cat_slope_PCT90,AwcHuc12_non_wetland_area,AwcHuc12_wetland_area,AwcHuc12_wtd_wet_per,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,AwcHuc12_wtd_lcld_mn_2001,AwcHuc12_wtd_lcld_mn_2002,AwcHuc12_wtd_lcld_mn_2003,AwcHuc12_wtd_lcld_mn_2004,AwcHuc12_wtd_lcld_mn_2005,AwcHuc12_wtd_lcld_mn_2006,AwcHuc12_wtd_lcld_mn_2007,AwcHuc12_wtd_lcld_mn_2008,AwcHuc12_wtd_lcld_mn_2009,AwcHuc12_wtd_lcld_mn_2010,AwcHuc12_wtd_lcld_mn_2011,AwcHuc12_wtd_lcld_mn_2012,AwcHuc12_wtd_lcld_mn_2013,AwcHuc12_wtd_lcld_mn_2014,AwcHuc12_wtd_lcld_mn_2015,AwcHuc12_wtd_lcld_mn_2016,AwcHuc12_wtd_lcld_mn_2017,AwcHuc12_wtd_lcld_mn_2018,AwcHuc12_wtd_lcld_mn_2019
11,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1013765,Bristol_Bay_1013765,1013765.000000000000000,1013765,67700.000000000000000,49397900.000000000000000,38967200.000000000000000,10430700.000000000000000,21.1156750,11,3506.000000000000000,350600.000000000000000,44,72,28,48.131488876212046,3.620250439190711,168749.000000000000000,29,47,72,47,49,44,750,164.853252871073522,133.796644934475637,0.000000955018322,51.606178283691406,8.283939428639123,7.264312693972920,11,3506.000000000000000,350600.000000000000000,0.000000995708206,17.147537231445312,17.147536235737107,1.643974397348939,2.575832001298850,5763.774237105380962,0.000001332060435,4.045259714126587,48337800.000000000000000,1060100.000000000000000,2.1460426,,,585534.872267667553388,1.185343652802382,468.245079244260694,489.032916379032997,422.512872004674932,474.256680952026670,440.921061421635272,493.931606404326828,469.969178851728714,478.271485225081562,489.775041044251111,486.900965425657034,428.549179216122639,487.427246907260667,474.584868992407337,405.826328649598167,420.128813168169927,418.874769980102883,467.030734100035374,467.480589255818018,443.723757487665239
12,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1014251,Bristol_Bay_1014251,1014251.000000000000000,1014251,106260.000000000000000,142753800.000000000000000,124763400.000000000000000,17990400.000000000000000,12.6023970,12,227.000000000000000,22700.000000000000000,8,14,6,10.920704845814981,1.103803371097861,2479.000000000000000,7,11,8,11,13,8,121,47.793382733069834,23.280929792674833,0.000000007539602,29.355463027954102,1.955713657810536,2.321507244646680,12,227.000000000000000,22700.000000000000000,0.000000264444907,5.728629112243652,5.728628847798745,1.149911267597869,1.650635471195926,261.029857744716196,0.000000299825501,3.435380935668945,135907800.000000000000000,6846000.000000000000000,4.7956691,,,12056896.632591888308525,8.445937433954045,428.934351858856644,431.471211246467533,382.979263309503438,431.313954146569074,399.643318474799344,464.180020877008872,401.903923868560298,444.550502491433235,464.861863502162805,440.723213243462112,441.029746191805259,468.899450083746672,420.968398620898938,388.115248064209652,405.649948339987702,388.169229476270061,443.924456762620082,452.256059216365600,398.526165913526370
13,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1014341,Bristol_Bay_1014341,1014341.000000000000000,1014341,115240.000000000000000,121891400.000000000000000,86907200.000000000000000,34984200.000000000000000,28.7011223,13,1854.000000000000000,185400.000000000000000,60,69,9,66.008629989212452,2.975979158634722,122380.000000000000000,10,68,65,68,69,60,574,232.504346492043311,87.280745458254685,0.000001290133241,31.686763763427734,3.017845690390868,2.756861498110058,13,1854.000000000000000,185400.000000000000000,0.000001290133241,11.275168418884277,11.275167128751036,1.119989582828912,1.781983306745250,2076.460686564802927,0.000001864875117,3.368257379531860,121171300.000000000000000,720100.000000000000000,0.5907718,,,2822562.495129729155451,2.315637112322714,463.903521495363520,470.270521136025934,407.928468292263460,463.509329616356922,441.086594296235262,489.371594714644516,438.225647584654610,464.323580662786298,476.617397946038750,466.615008113781414,459.163930351119916,487.475328858312480,474.756943475913943,402.366127552885587,411.169835607761740,428.587913503337575,467.823533079440949,466.010410906756704,427.298858656147729
14,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1014516,Bristol_Bay_1014516,1014516.000000000000000,1014516,84320.000000000000000,60913000.000000000000000,46516300.000000000000000,14396700.000000000000000,23.6348572,14,929.000000000000000,92900.000000000000000,6,14,8,9.298170075349823,1.853750421008369,8638.000000000000000,9,9,14,9,12,6,1471,98.208745259631996,143.344404857588131,0.000000017220449,44.968101501464844,5.080958157667994,5.869202317887639,14,929.000000000000000,92900.000000000000000,0.000000017220449,7.617326736450195,7.617326719229746,2.026093659778410,1.646192596320880,1882.241009934142539,2.420342922210693,4.043826675415039,57341200.000000000000000,3571800.000000000000000,5.8637729,,,5427597.073496594093740,8.910408407887633,458.398096728166024,465.932501326761269,402.637386310890520,465.504052404444849,401.903417047577250,479.418230530874894,440.850848064363447,470.438502537639806,474.465323315513558,481.174607440460989,461.246185960816149,486.911753967855816,478.642912909323172,404.224191459603674,410.269226028452181,402.898597914845766,469.634958650685178,448.388105387504766,398.189637905129416
15,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1014641,Bristol_Bay_1014641,1014641.000000000000000,1014641,128960.000000000000000,256457100.000000000000000,220276100.000000000000000,36181000.000000000000000,14.1080122,15,8158.000000000000000,815800.000000000000000,27,55,28,41.695513606276123,9.038229230289982,340152.000000000000000,29,30,55,45,52,27,128,72.274661532083911,17.034422368581357,0.000000507458594,28.274343490600586,1.728760469626782,2.327873558809218,15,8158.000000000000000,815800.000000000000000,0.000000530938394,25.988275527954102,25.988274997015708,2.455531152631783,3.654505584892289,20032.223143170085677,0.680360794067383,6.220695018768311,241035600.000000000000000,15421500.000000000000000,6.0132866,,,20399012.976324521005154,7.954161914926325,413.475299466645367,441.398693517347851,382.827355577094067,420.603684186433554,411.140659161294366,469.271074262701006,402.869738675430938,442.637007683595186,469.554211493399634,422.889305399729096,428.944219990795034,469.859369022758301,426.662445352463749,389.948751163222369,406.550175853073199,393.188981438704104,429.257602890101737,456.969360314736093,394.840307451375509
16,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1014786,Bristol_Bay_1014786,1014786.000000000000000,1014786,72760.000000000000000,81889800.000000000000000,56522800.000000000000000,25367000.000000000000000,30.9769955,16,2842.000000000000000,284200.000000000000000,4,8,4,5.813511611541170,0.800940939018733,16522.000000000000000,5,6,8,6,7,4,601,83.896879709072351,85.026799048904238,0.000000003632756,53.807392120361328,5.030784735921394,5.637036975068438,16,2842.000000000000000,284200.000000000000000,0.000000045393538,8.373368263244629,8.373368217851091,1.465288030744445,1.661113641441862,4164.348583375712224,0.680087387561798,3.435492992401123,74947900.000000000000000,6941900.000000000000000,8.4771242,,,1538319.692888382822275,1.878524178699158,431.167365612828746,451.198183435038857,415.011689307281188,466.025179233998358,410.347342921101927,483.097568305171080,457.057211370396146,472.788985311705289,480.181877280676076,472.460061942284597,418.426014534972751,475.488238937782398,466.680239183095978,397.496600533561832,408.699202109713156,387.263920762932457,442.693223758853094,450.049161325931948,429.443728803165641
17,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1014821,Bristol_Bay_1014821,1014821.000000000000000,1014821,334440.000000000000000,1649300000.000000000000000,1232531000.000000000000000,416769000.000000000000000,25.2694473,17,1968.000000000000000,196800.000000000000000,60,72,12,63.241869918699209,2.966690924243613,124460.000000000000000,13,63,72,63,68,60,2164,384.449850300127594,276.738410150659035,0.000001387648354,79.290740966796875,8.796975013020154,10.489346677916151,17,1968.000000000000000,196800.000000000000000,0.000001461651209,14.234068870544434,14.234067408893225,2.072207355222528,2.817608702836407,4078.104075077935704,0.680268287658691,5.760159587860108,1631492700.000000000000000,17807300.000000000000000,1.0796883,33846601.941966190934181,2.052179830350221,12483562.696834264323115,0.756900666757671,481.083656205288548,477.140073151418449,433.429196794245001,477.979759398496299,458.044726729840477,499.132724144232952,462.330870948122765,487.548815554070359,482.538292849311176,489.889536792196509,470.474870547405374,501.741338383376387,484.142183485121336,428.782803938302948,442.898629179239379,446.561420230738690,476.943827297370490,482.285128478353613,452.991486540044832
18,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1015186,Bristol_Bay_1015186,1015186.000000000000000,1015186,174540.000000000000000,567620400.000000000000000,483514400.000000000000000,84106000.000000000000000,14.8172970,18,6630.000000000000000,663000.000000000000000,10,25,15,13.294268476621442,3.084307632999523,88141.000000000000000,16,13,25,13,17,10,1843,332.491723694214897,292.202366824877515,0.000000004039695,78.008560180664062,14.147425206901872,11.852801519788484,18,6630.000000000000000,663000.000000000000000,0.000000028009536,27.556159973144531,27.556159945134993,2.475375769982519,3.662500260438923,16411.741354984100326,0.680046617984772,6.367611885070801,563423600.000000000000000,4196800.000000000000000,0.7393674,8152617.825229488313198,1.436279919683910,3118643.577724225353450,0.549424153487828,492.303775497671097,492.247621101494758,446.899365523227573,485.625565881923990,469.442597106118285,502.632983054450676,480.900537205093656,496.289323652696680,495.131437246398718,495.947994221501631,471.107301616417828,502.732581723763076,493.074399314190771,437.125212711130757,456.766985844358999,448.788428629522116,475.963021458329592,484.649136263856121,468.455096294064219
19,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1015281,Bristol_Bay_1015281,1015281.000000000000000,1015281,384480.000000000000000,1899446000.000000000000000,1427660800.000000000000000,471785200.000000000000000,24.8380413,19,4465.000000000000000,446500.000000000000000,33,63,30,41.225531914893679,8.727604702529039,184072.000000000000000,31,34,63,38,59,33,2164,353.913600755167806,271.948453787167125,0.000000669083363,79.290740966796875,7.931963562358124,10.067280217964312,19,4465.000000000000000,446500.000000000000000,0.000000669083363,35.126350402832031,35.126349733748668,4.609271502421707,8.506763738498476,20580.397258312921622,0.680340886116028,20.165164947509759,1878308400.000000000000000,21137600.000000000000000,1.1128297,33846601.941966190934181,1.781919672471141,19308085.665822923183441,1.016511428375586,475.355691299604302,473.763925926003708,428.321873020168937,473.100633646395977,453.065342143281157,496.254276020564475,456.704047621308916,483.011465708556500,481.037734850782556,485.393407067133239,465.889419407478272,498.680549782012633,480.120489127217581,424.491607271510418,438.344314157327119,441.650328684585475,473.673183323323428,478.728019082182527,447.237683816916672
20,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1015516,Bristol_Bay_1015516,1015516.000000000000000,1015516,226980.000000000000000,729142200.000000000000000,600063400.000000000000000,129078800.000000000000000,17.7028294,20,14462.000000000000000,1446200.000000000000000,4,16,12,6.498409625224726,1.367265106814431,93980.000000000000000,13,6,15,6,8,4,1843,280.059409673448556,280.214853626888157,0.000000004039695,78.008560180664062,12.286883586112074,11.425714731856491,20,14462.000000000000000,1446200.000000000000000,0.000000038562469,19.004455566406250,19.004455527843781,1.086625783889763,1.722959233965561,15714.782086613759020,0.000000216751545,3.368155241012573,716102500.000000000000000,13039700.000000000000000,1.7883617,8152617.825229488313198,1.118110819155645,11986586.389792438596487,1.643929865778231,481.522402871344070,484.268647058243346,440.986966736390400,481.197941812106137,459.065800044980563,499.150349551475699,475.905143713576365,490.493111412722897,492.406758479889163,492.653079242273520,461.393322898011775,497.251811273357362,487.651152497715827,430.150475597111608,448.590668134803309,439.358614171849354,470.767547197782335,479.520903266259211,462.574005340681879
21,1,D:\GIS\outputs_2023\outputs_2023.gdb\Bristol_Bay_Watersheds\Bristol_Bay_wtd_1015685,Bristol_Bay_1015685,1015685.000000000000000,1015685,75380.000000000000000,100166700.000000000000000,77776500.000000000000000,22390200.000000000000000,22.3529377,21,18349.000000000000000,1834900.000000000000000,4,65,61,27.710828928006979,13.799885666975781,508466.000000000000000,62,9,65,27,48,4,1212,393.124543386177379,203.583115131837133,0.000000009720249,76.968177795410156,13.198762933593027,10.564779866329722,21,18349.000000000000000,1834900.000000000000000,0.000000009720249,18.430124282836914,18.430124273116665,1.464467584284635,1.927253405172881,26871.515704038763943,0.679209887981415,3.435466527938843,99965700.000000000000000,201000.000000000000000,0.2006655,,,190237.773231719707837,0.189921174633605,498.386583860633095,489.332928920932545,441.869642621000082,485.435896767493432,460.836007455387971,505.586283106037570,483.712139184662021,492.310857220708385,487.331711782348975,502.257348550722497,482.866709211782506,508.506538056171905,496.795296526801053,437.394053934281771,441.824592765781290,454.672537158523539,479.818925097882811,482.797941056112279,466.690864524182814
