SampleType,Lake,YearSampled,DateSampled,StationName,Species,Length,Mass,Month,Year,Site
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,47,1.11,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,0.9,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,61,2.36,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,0.74,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,1.06,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,47,1.08,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,51,1.33,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,47,1.06,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,37,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,48,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,1.04,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,53,1.4,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,55,1.65,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,0.98,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,54,1.54,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,59,1.97,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,51,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,0.97,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,0.77,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,47,1.02,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,1.02,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,48,1.08,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,48,1.04,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,91,8.3,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,86,6.44,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,1.03,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,79,5.01,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,82,6.06,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,75,4.54,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,38,0.49,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,95,9.1,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,70,4.05,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,110,13.97,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,129,23.9,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,52,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,49,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,84,5.85,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,89,7.62,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,0.99,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,1.06,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,0.83,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,0.77,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,75,4.28,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,99,9.11,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,51,1.45,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,100,9.81,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,118,16.71,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,86,6.66,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,102,11.33,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,0.95,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,51,1.35,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,51,1.42,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,0.77,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,1.53,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,61,2.41,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,0.9,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,0.85,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,0.85,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,52,1.67,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,38,0.56,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,53,1.62,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,0.98,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,41,0.73,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,41,0.72,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,0.87,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,55,1.63,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,0.89,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,1.07,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,51,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,52,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,53,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,48,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,63,2.8,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,91,8.24,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,110,17.32,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,54,1.64,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,48,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,0.94,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,59,2.02,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,60,2.23,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,73,4.07,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,65,2.84,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,65,2.67,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,41,0.73,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,98,11.97,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,49,1.06,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,1.31,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,52,1.38,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,53,1.51,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,1.65,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,81,5.41,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,1.38,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,64,2.68,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,57,2.45,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,70,3.33,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,68,3.27,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,84,6.73,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,48,1.26,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,99,10.07,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,0.76,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,51,1.38,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,49,1.14,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,0.8,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,47,1.02,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,58,2.02,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,0.85,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,91,7.85,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,0.96,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,39,0.56,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,0.72,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,51,1.37,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,47,1.07,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,49,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,41,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,1.04,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,0.89,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,1.06,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,35,0.37,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,0.88,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,0.61,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,0.85,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,39,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,39,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,0.72,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,49,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,1.38,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,48,1.1,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,1.03,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,42,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,105,13.9,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,38,0.52,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,49,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,1.06,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,1.21,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,0.62,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,103,13.24,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,41,0.62,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,90,9.5,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,92,8.84,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,115,21.75,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,110,16.23,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,107,15.45,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,0.87,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,53,1.61,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,41,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,52,1.56,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,38,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,35,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,40,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,37,0.48,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,38,0.45,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,43,0.81,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,38,0.43,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,38,0.54,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,39,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,44,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,49,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,1.03,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,52,1.55,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,48,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,45,0.85,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,50,NA,8,2007,Bear Creek
Stick Seine,Aleknagik,2007,2007-08-09T00:00:00Z,Bear Creek,Coho salmon,46,1.07,8,2007,Bear Creek
