series_id,date,n_values,min_temp_c,mean_temp_c,max_temp_c,flag
863,7/3/2015,24,12.58,13.170417,14.46,
863,7/4/2015,24,12.2,12.456667,13.09,
863,7/5/2015,24,12.15,12.539583,13.21,
863,7/6/2015,24,12.56,12.774583,12.94,
863,7/7/2015,24,12.05,12.247499,12.63,
863,7/8/2015,24,11.76,11.95625,12.2,
863,7/9/2015,24,11.81,12.076667,12.41,
863,7/10/2015,24,11.88,12.338333,13.04,
863,7/11/2015,24,11.78,12.832083,13.23,
863,7/12/2015,24,12.58,12.882916,13.16,
863,7/13/2015,24,12.46,12.950417,13.52,
863,7/14/2015,24,12.65,13.4425,14.19,
863,7/15/2015,24,12.63,13.04,13.67,
863,7/16/2015,24,12,12.21875,12.61,
863,7/17/2015,24,11.81,12.095417,12.49,
863,7/18/2015,24,11.25,11.56625,11.83,
863,7/19/2015,24,10.79,11.002916,11.25,
863,7/20/2015,24,10.47,10.902917,11.49,
863,7/21/2015,24,10.81,11.076667,11.35,
863,7/22/2015,24,11.25,11.3237505,11.49,
863,7/23/2015,24,9.61,10.50375,11.22,
863,7/24/2015,24,8.49,8.662916,9.34,
863,7/25/2015,24,8.2,8.486667,8.99,
863,7/26/2015,24,8.22,8.472083,8.84,
863,7/27/2015,24,7.87,8.123333,8.44,
863,7/28/2015,24,8.25,8.513333,9.09,
863,7/29/2015,24,8.17,8.490833,8.89,
863,7/30/2015,24,8.52,9.889167,11.49,
863,7/31/2015,24,10.39,11.1575,11.78,
863,8/1/2015,24,9.93,10.370417,10.96,
863,8/2/2015,24,9.56,10.195,10.79,
863,8/3/2015,24,10.1,10.72875,11.37,
863,8/4/2015,24,11.22,11.572917,11.9,
863,8/5/2015,24,11.35,11.8429165,12.51,
863,8/6/2015,24,11.44,11.80375,12.27,
863,8/7/2015,24,10.05,10.368334,11.37,
863,8/8/2015,24,10.25,11.234167,11.52,
863,8/9/2015,24,11.2,11.690416,12.32,
863,8/10/2015,24,10.47,10.850833,11.44,
863,8/11/2015,24,10.86,11.230416,11.61,
863,8/12/2015,24,10.08,10.84875,11.49,
863,8/13/2015,24,9.56,10.125,10.69,
863,8/14/2015,24,9.61,10.415833,11.37,
863,8/15/2015,24,11.13,11.28,11.49,
863,8/16/2015,24,11.15,11.3758335,11.64,
863,8/17/2015,24,11.61,11.8375,12.15,
863,8/18/2015,24,11.9,12.264584,12.7,
863,8/19/2015,24,11.27,11.8075,12.44,
863,8/20/2015,24,11.35,11.71,12.12,
863,8/21/2015,24,11.52,11.7699995,12,
863,8/22/2015,24,11.05,11.334583,11.66,
863,8/23/2015,24,10.88,11.2275,11.42,
863,8/24/2015,24,9.49,10.394584,10.91,
863,8/25/2015,24,9.06,9.45375,9.93,
863,8/26/2015,24,9.51,9.752084,9.93,
863,8/27/2015,24,9.85,9.979167,10.2,
863,8/28/2015,24,9.66,10.007916,10.27,
863,8/29/2015,24,9.88,10.223333,10.42,
863,8/30/2015,24,9.51,9.840417,10.1,
863,8/31/2015,24,8.79,9.01875,9.44,
863,9/1/2015,24,8.54,8.9675,9.41,
863,9/2/2015,24,9.24,9.519584,9.76,
863,9/3/2015,24,9.71,10.437083,11.22,
863,9/4/2015,24,10.57,10.83375,11.22,
863,9/5/2015,24,10.66,10.896667,11.25,
863,9/6/2015,24,11.03,11.359583,11.88,
863,9/7/2015,24,11.25,11.390834,11.52,
863,9/8/2015,24,11.3,11.424583,11.61,
863,9/9/2015,24,11.32,11.3975,11.49,
863,9/10/2015,24,11.13,11.3375,11.49,
863,9/11/2015,24,11.08,11.388333,11.73,
863,9/12/2015,24,11.03,11.227917,11.47,
863,9/13/2015,24,10.59,10.935417,11.27,
863,9/14/2015,24,8.59,9.35375,10.54,
863,9/15/2015,24,7.19,7.6120834,8.39,
863,9/16/2015,24,6.91,7.2275,7.67,
863,9/17/2015,24,7.17,7.4795833,7.95,
863,9/18/2015,24,7.39,8.42,9.44,
863,9/19/2015,24,8.92,9.151667,9.49,
863,9/20/2015,24,8.74,9.244166,9.85,
863,9/21/2015,24,9.04,9.210834,9.56,
863,9/22/2015,24,8.67,8.950833,9.14,
863,9/23/2015,24,8.87,9.098333,9.34,
863,9/24/2015,24,8.92,9.0225,9.14,
863,9/25/2015,24,8.89,9.100417,9.44,
863,9/26/2015,24,9.19,9.305,9.39,
863,9/27/2015,24,9.16,9.33375,9.53,
863,9/28/2015,24,9.16,9.425,9.58,
863,9/29/2015,24,8.62,8.820833,9.11,
863,9/30/2015,24,8.42,8.689167,8.94,
863,10/1/2015,24,7.87,8.277083,8.64,
863,10/2/2015,24,8.47,8.625,8.74,
863,10/3/2015,24,8.64,8.752084,8.92,
863,10/4/2015,24,8.27,8.554167,8.77,
863,10/5/2015,24,8.3,8.44375,8.57,
863,10/6/2015,24,8.34,8.47125,8.62,
863,10/7/2015,24,8.47,8.5525,8.62,
863,10/8/2015,24,8.3,8.4679165,8.67,
863,10/9/2015,24,8.54,8.729584,8.99,
863,10/10/2015,24,8.49,8.627084,8.79,
863,10/11/2015,24,8.47,8.537917,8.62,
863,10/12/2015,24,8.22,8.37,8.49,
863,10/13/2015,24,7.59,8.0008335,8.25,
863,10/14/2015,24,7.82,8.1475,8.44,
863,10/15/2015,24,8.27,8.31625,8.37,
863,10/16/2015,24,8.2,8.255834,8.32,
863,10/17/2015,24,7.95,8.097917,8.25,
863,10/18/2015,24,7.67,7.835,7.97,
863,10/19/2015,24,7.87,7.97625,8.05,
863,10/20/2015,24,7.92,8.076667,8.22,
863,10/21/2015,24,7.77,7.9816666,8.17,
863,10/22/2015,24,7.59,7.8054166,7.95,
863,10/23/2015,24,7.52,7.70875,7.95,
863,10/24/2015,24,7.87,7.9641666,8.15,
863,10/25/2015,24,7.77,7.8708334,7.97,
863,10/26/2015,24,7.47,7.71125,7.85,
863,10/27/2015,24,7.49,7.5475,7.62,
863,10/28/2015,24,7.54,7.6558332,7.75,
863,10/29/2015,24,7.34,7.550833,7.72,
863,10/30/2015,24,6.61,6.92125,7.32,
863,10/31/2015,24,6.31,6.4670835,6.61,
863,11/1/2015,25,5.18,5.8264,6.38,
863,11/2/2015,24,5.08,5.5475,6.15,
863,11/3/2015,24,5.82,6.0425,6.61,
863,11/4/2015,24,5.77,6.10125,6.69,
863,11/5/2015,24,6.54,6.69125,6.81,
863,11/6/2015,24,6.1,6.3570833,6.54,
863,11/7/2015,24,5.62,6.1116667,6.28,
863,11/8/2015,24,5.69,5.9358335,6.15,
863,11/9/2015,24,4.58,5.2420835,5.92,
863,11/10/2015,24,4.32,4.6179166,4.92,
863,11/11/2015,24,4.4,5.650833,6.41,
863,11/12/2015,24,5.18,5.5420833,5.77,
863,11/13/2015,24,5.08,5.35875,5.62,
863,11/14/2015,24,4.87,5.0970836,5.28,
863,11/15/2015,24,4.61,4.8991666,5.23,
863,11/16/2015,24,3.99,4.3233333,4.84,
863,11/17/2015,24,3.51,3.7804167,4.19,
863,11/18/2015,24,2.5,3.3345833,3.72,
863,11/19/2015,24,2.07,2.9529166,3.62,
863,11/20/2015,24,1.62,3.7175,4.77,
863,11/21/2015,24,3.27,3.7745833,4.38,
863,11/22/2015,24,2.85,3.7354167,4.48,
863,11/23/2015,24,4.01,4.31875,4.61,
863,11/24/2015,24,3.93,4.4729166,4.97,
863,11/25/2015,24,4.82,5.01625,5.18,
863,11/26/2015,24,4.38,4.58,5.08,
863,11/27/2015,24,4.45,4.67,4.84,
863,11/28/2015,24,4.82,5.1675,5.31,
863,11/29/2015,24,4.45,4.7395835,5.18,
863,11/30/2015,24,4.64,4.9495835,5.13,
863,12/1/2015,24,4.97,5.1404166,5.33,
863,12/2/2015,24,4.32,4.570417,4.97,
863,12/3/2015,24,3.93,4.2629166,4.38,
863,12/4/2015,24,3.35,3.6666667,3.88,
863,12/5/2015,24,3.17,3.345,3.64,
863,12/6/2015,24,2.93,3.1200001,3.22,
863,12/7/2015,24,2.98,3.8108335,4.58,
863,12/8/2015,24,3.2,4.175,4.79,
863,12/9/2015,24,3.17,3.3716667,3.72,
863,12/10/2015,24,2.74,3.025,3.2,
863,12/11/2015,24,2.05,2.4745834,2.88,
863,12/12/2015,24,2.29,2.5191667,2.8,
863,12/13/2015,24,2.16,3.3666666,3.93,
863,12/14/2015,24,1.02,1.9329166,3.67,
863,12/15/2015,24,1.32,1.91875,2.42,
863,12/16/2015,24,2.18,2.6720834,2.93,
863,12/17/2015,24,2.77,2.96125,3.2,
863,12/18/2015,24,2.61,3.1733334,3.75,
863,12/19/2015,24,2.82,3.1375,3.3,
863,12/20/2015,24,2.42,2.5462499,2.69,
863,12/21/2015,24,2.45,2.7725,2.96,
863,12/22/2015,24,2.02,2.3983333,2.64,
863,12/23/2015,24,1.81,1.9675,2.26,
863,12/24/2015,24,1.91,2.7266667,3.2,
863,12/25/2015,24,2.74,2.8770833,3.01,
863,12/26/2015,24,2.88,3.1066668,3.27,
863,12/27/2015,24,3.01,3.23125,3.62,
863,12/28/2015,24,2.96,3.2520833,3.64,
863,12/29/2015,24,2.96,3.3845832,3.67,
863,12/30/2015,24,3.49,3.6175,3.75,
863,12/31/2015,24,3.33,3.4533334,3.7,
863,1/1/2016,24,3.27,3.3933334,3.51,
863,1/2/2016,24,3.3,3.4237502,3.49,
863,1/3/2016,24,3.09,3.38875,3.7,
863,1/4/2016,24,3.62,3.7683332,3.85,
863,1/5/2016,24,3.35,3.6275,3.83,
863,1/6/2016,24,3.01,3.1770833,3.33,
863,1/7/2016,24,3.2,3.4066668,3.56,
863,1/8/2016,24,2.93,3.31,3.62,
863,1/9/2016,24,3.2,3.3741667,3.59,
863,1/10/2016,24,3.35,3.4945834,3.62,
863,1/11/2016,24,3.04,3.22875,3.35,
863,1/12/2016,24,2.8,2.9445834,3.09,
863,1/13/2016,24,2.8,2.89125,3.06,
863,1/14/2016,24,2.34,2.4970834,2.77,
863,1/15/2016,24,2.24,2.4291666,2.58,
863,1/16/2016,24,2.37,2.4716666,2.58,
863,1/17/2016,24,2.61,2.71875,2.93,
863,1/18/2016,24,2.4,2.5820835,2.98,
863,1/19/2016,24,2.5,2.5420833,2.58,
863,1/20/2016,24,2.53,2.6329167,2.72,
863,1/21/2016,24,2.34,2.4595833,2.66,
863,1/22/2016,24,2.16,2.2720833,2.34,
863,1/23/2016,24,2.16,2.2975,2.42,
863,1/24/2016,24,2.42,2.8058333,3.09,
863,1/25/2016,24,2.74,2.8983333,3.06,
863,1/26/2016,24,2.69,2.8275,2.96,
863,1/27/2016,24,2.64,2.85875,3.01,
863,1/28/2016,24,2.45,2.7941666,2.98,
863,1/29/2016,24,2.18,2.2775,2.4,
863,1/30/2016,24,2.16,2.6033335,3.06,
863,1/31/2016,24,2.9,3.0020833,3.06,
863,2/1/2016,24,2.82,2.88875,2.93,
863,2/2/2016,24,2.72,2.7608333,2.8,
863,2/3/2016,24,2.69,2.76,2.82,
863,2/4/2016,24,2.74,2.9083333,3.04,
863,2/5/2016,24,2.93,2.9866667,3.04,
863,2/6/2016,24,2.26,2.4866667,2.9,
863,2/7/2016,24,2.37,2.5149999,2.66,
863,2/8/2016,24,2.58,2.7470834,2.96,
863,2/9/2016,24,2.88,2.9520833,3.06,
863,2/10/2016,24,2.53,2.8216667,2.93,
863,2/11/2016,24,2.88,2.9941666,3.09,
863,2/12/2016,24,2.98,3.0845833,3.17,
863,2/13/2016,24,3.04,3.12625,3.2,
863,2/14/2016,24,3.09,3.1529167,3.22,
863,2/15/2016,24,3.12,3.1791668,3.27,
863,2/16/2016,24,2.93,3.0345833,3.14,
863,2/17/2016,24,2.82,2.935,3.01,
863,2/18/2016,24,2.45,2.6258333,2.82,
863,2/19/2016,24,2.56,2.65125,2.74,
863,2/20/2016,24,2.61,2.6716666,2.8,
863,2/21/2016,24,2.56,2.66625,2.82,
863,2/22/2016,24,2.48,2.6320834,2.72,
863,2/23/2016,24,2.61,2.6891668,2.8,
863,2/24/2016,24,2.8,2.9183333,3.06,
863,2/25/2016,24,2.93,3.0208335,3.14,
863,2/26/2016,24,2.93,3.0029166,3.09,
863,2/27/2016,24,2.88,2.9566667,2.98,
863,2/28/2016,24,2.88,3.0054166,3.2,
863,2/29/2016,24,2.77,2.94875,3.17,
863,3/1/2016,24,2.8,3.0129166,3.2,
863,3/2/2016,24,2.9,3.0341666,3.17,
863,3/3/2016,24,2.8,2.9058332,3.01,
863,3/4/2016,24,2.34,2.53,2.77,
863,3/5/2016,24,2.29,2.37,2.5,
863,3/6/2016,24,2.21,2.3391666,2.53,
863,3/7/2016,24,2.18,2.3970833,2.66,
863,3/8/2016,24,2.18,2.3904166,2.61,
863,3/9/2016,24,2.45,2.5770833,2.72,
863,3/10/2016,24,2.42,2.6491666,2.85,
863,3/11/2016,24,2.5,2.6845834,2.82,
863,3/12/2016,24,2.72,2.8020833,2.93,
863,3/13/2016,23,2.64,2.8513043,3.14,
863,3/14/2016,24,2.88,2.9416666,3.04,
863,3/15/2016,24,2.74,2.9229167,3.12,
863,3/16/2016,24,2.5,2.6666667,2.85,
863,3/17/2016,24,2.05,2.2620833,2.5,
863,3/18/2016,24,1.97,2.1554167,2.34,
863,3/19/2016,24,1.64,1.81875,2.05,
863,3/20/2016,24,1.4,1.5225,1.67,
863,3/21/2016,24,1.45,1.5729166,1.7,
863,3/22/2016,24,1.59,1.9295833,2.07,
863,3/23/2016,24,2.02,2.1245832,2.18,
863,3/24/2016,24,2.18,2.39625,2.72,
863,3/25/2016,24,2.48,2.72625,3.09,
863,3/26/2016,24,2.69,2.92125,3.27,
863,3/27/2016,24,2.58,2.7441666,3.14,
863,3/28/2016,24,2.5,2.7783334,3.2,
863,3/29/2016,24,2.82,2.94625,3.14,
863,3/30/2016,24,2.96,3.1133332,3.38,
863,3/31/2016,24,3.04,3.2695832,3.59,
863,4/1/2016,24,3.01,3.3495834,4.09,
863,4/2/2016,24,4.09,4.38875,4.77,
863,4/3/2016,24,3.33,3.59625,4.06,
863,4/4/2016,24,3.25,3.3766668,3.51,
863,4/5/2016,24,3.3,3.5816667,4.01,
863,4/6/2016,24,3.7,3.9829166,4.27,
863,4/7/2016,24,3.88,4.2366667,4.53,
863,4/8/2016,24,3.88,4.0729165,4.35,
863,4/9/2016,24,3.91,4.241667,4.64,
863,4/10/2016,24,3.7,4.1683335,4.58,
863,4/11/2016,24,3.75,3.8958333,4.09,
863,4/12/2016,24,3.56,4.0216665,4.51,
863,4/13/2016,24,4.25,4.5208335,4.92,
863,4/14/2016,24,4.32,4.56625,4.9,
863,4/15/2016,24,3.88,4.4008336,4.84,
863,4/16/2016,24,4.19,4.64,5.28,
863,4/17/2016,24,4.71,5.1175,5.51,
863,4/18/2016,24,4.04,4.37125,4.79,
863,4/19/2016,24,4.32,4.4620833,4.64,
863,4/20/2016,24,3.93,4.30375,4.64,
863,4/21/2016,24,4.04,4.463333,4.9,
863,4/22/2016,24,4.58,5.1458335,5.67,
863,4/23/2016,24,4.74,4.9375,5.15,
863,4/24/2016,24,4.74,5.488333,6.26,
863,4/25/2016,24,5.39,5.7679167,6.2,
863,4/26/2016,24,5.49,5.8770833,6.41,
863,4/27/2016,24,4.87,5.110833,5.82,
863,4/28/2016,24,4.32,4.6825,5.05,
863,4/29/2016,24,4.66,5.0945835,5.8,
863,4/30/2016,24,5.05,5.285,5.9,
863,5/1/2016,24,4.64,5.1641665,6.1,
863,5/2/2016,24,5.62,5.895,6.2,
863,5/3/2016,24,5.21,5.6558332,6.15,
863,5/4/2016,24,5.15,5.4841666,5.9,
863,5/5/2016,24,5.23,5.488333,5.85,
863,5/6/2016,24,5.39,5.6983333,6.1,
863,5/7/2016,24,5.75,5.987917,6.15,
863,5/8/2016,24,5.62,5.88875,6.2,
863,5/9/2016,24,5.9,6.3016667,6.94,
863,5/10/2016,24,5.41,5.7266665,6.33,
863,5/11/2016,24,5.95,6.385,6.89,
863,5/12/2016,24,5.49,5.8858333,6.56,
863,5/13/2016,24,5.69,6.3229165,7.22,
863,5/14/2016,24,6.33,6.7766666,7.62,
863,5/15/2016,24,6.91,7.8379164,8.69,
863,5/16/2016,24,8.37,8.742084,9.39,
863,5/17/2016,24,7.87,8.149167,8.57,
863,5/18/2016,24,6.26,6.815,7.82,
863,5/19/2016,24,6.05,6.1825,6.31,
863,5/20/2016,24,5.51,5.912083,6.31,
863,5/21/2016,24,6.13,7.153333,7.9,
863,5/22/2016,24,6.28,6.5433335,7.04,
863,5/23/2016,24,5.95,6.2083335,6.51,
863,5/24/2016,24,6.15,6.30375,6.43,
863,5/25/2016,24,6.26,6.3058333,6.38,
863,5/26/2016,24,6.15,6.58,7.19,
863,5/27/2016,24,6.86,7.34125,8.2,
863,5/28/2016,24,7.37,7.90375,8.52,
863,5/29/2016,24,7.75,8.1675005,8.79,
863,5/30/2016,24,8.07,8.22,8.34,
863,5/31/2016,24,7.59,7.8729167,8.07,
863,6/1/2016,24,7.85,8.11875,8.59,
863,6/2/2016,24,8.15,8.578333,8.99,
863,6/3/2016,24,8.44,8.915417,9.58,
863,6/4/2016,24,8.39,9.072917,10.1,
863,6/5/2016,24,9.9,10.589167,11.39,
863,6/6/2016,24,9.73,10.765417,11.32,
863,6/7/2016,66,8.62,9.95197,11.03,"OTHER [ Deployment End Deployment End],OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]"
863,6/8/2016,96,9.04,9.680312,10.96,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/9/2016,96,9.24,9.530937,9.88,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/10/2016,96,9.31,9.774792,10.42,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/11/2016,96,10,10.2725,10.76,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/12/2016,96,10.05,10.471458,11.49,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/13/2016,96,9.61,10.125208,10.69,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/14/2016,96,9.46,9.873542,10.25,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/15/2016,96,9.44,9.809062,10.61,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/16/2016,96,9.53,9.782187,10.1,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/17/2016,96,9.51,9.962396,10.39,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/18/2016,96,9.39,9.669375,10.25,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/19/2016,96,9.44,10.037084,11.1,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/20/2016,96,9.06,9.271667,9.61,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/21/2016,96,8.84,9.217813,9.85,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/22/2016,96,9.21,9.8655205,10.49,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/23/2016,96,9.61,9.842292,10.05,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/24/2016,96,9.53,9.677292,9.98,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/25/2016,96,9.53,10.189167,11.15,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/26/2016,96,10.49,10.967604,11.9,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/27/2016,96,10.44,11.436042,12.44,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/28/2016,96,10.81,11.693229,13.02,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/29/2016,96,11.81,13.012292,13.93,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,6/30/2016,96,12.44,13.154375,13.76,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,7/1/2016,96,10.44,12.061146,12.82,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,7/2/2016,96,8.94,9.461458,10.44,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,7/3/2016,96,7.87,8.68,9.24,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,7/4/2016,96,7.87,8.1901045,8.69,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
863,7/5/2016,96,8.17,8.844375,9.51,OTHER [HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.HG2 telemetry data used to fill gap caused by data overwrite in Satlink logger. Satlink log capacity was not large enough to account for the time between site visits.]
