"","SiteID","uw","Year"
"88","LynxCold","Nerka Lynx Creek Cold Tributary",2013
"89","Moose","Beverley Moose Creek",2013
"90","NerkaBear","Nerka Bear Creek",2013
"91","Pick","Nerka Pick Creek",2013
"92","Rainbow","Nerka Rainbow Creek",2013
"93","Sam","Nerka Sam Creek",2013
"94","Seventh","Nerka Seventh Creek",2013
"95","Silverhorn","Beverley Silverhorn Creek",2013
"96","Sixth","Nerka Sixth Creek",2013
"97","Stovall","Nerka Stovall Creek",2013
"98","Teal","Nerka Teal Creek",2013
"99","Uno","Beverley Uno Creek",2013
"100","Whitefish","Aleknagik Big Whitefish Creek",2013
"101","Allah","Nerka Allah Creek",2014
"102","Bear","Aleknagik Bear Creek",2014
"103","Berm","Nerka Berm Creek",2014
"104","C","Little Togiak C Creek",2014
"105","Cabin","Nerka Cabin Creek",2014
"106","Cottonwood","Nerka Cottonwood Creek",2014
"107","Eagle","Aleknagik Eagle Creek",2014
"108","Elva","Nerka Elva Creek",2014
"109","Fifer","Aleknagik Pfifer Creek",2014
"110","Hansen","Aleknagik Hansen Creek",2014
"111","Hope","Beverley Hope Creek",2014
"112","Joe","Nerka Joe Creek",2014
"113","K3","Kulik K-3 Creek",2014
"114","Kema","Nerka Kema Creek",2014
"115","Lynx","Nerka Lynx Creek",2014
"116","LynxCold","Nerka Lynx Creek Cold Tributary",2014
"117","Mission","Aleknagik Mission Creek",2014
"118","Moose","Beverley Moose Creek",2014
"119","NerkaBear","Nerka Bear Creek",2014
"120","Pick","Nerka Pick Creek",2014
"121","Rainbow","Nerka Rainbow Creek",2014
"122","Sam","Nerka Sam Creek",2014
"123","Seventh","Nerka Seventh Creek",2014
"124","SilverSalmon","Aleknagik Silver Salmon Creek",2014
"125","Sixth","Nerka Sixth Creek",2014
"126","Stovall","Nerka Stovall Creek",2014
"127","Teal","Nerka Teal Creek",2014
"128","Uno","Beverley Uno Creek",2014
"129","Whitefish","Aleknagik Big Whitefish Creek",2014
"130","Allah","Nerka Allah Creek",2015
"131","Bear","Aleknagik Bear Creek",2015
"132","Berm","Nerka Berm Creek",2015
"133","C","Little Togiak C Creek",2015
"134","Eagle","Aleknagik Eagle Creek",2015
"135","Hansen","Aleknagik Hansen Creek",2015
"136","Happy","Aleknagik Happy Creek",2015
"137","Hidden","Nerka Hidden Lake Creek",2015
"138","Joe","Nerka Joe Creek",2015
"139","K3","Kulik K-3 Creek",2015
"140","Kema","Nerka Kema Creek",2015
"141","Lynx","Nerka Lynx Creek",2015
"142","LynxCold","Nerka Lynx Creek Cold Tributary",2015
"143","Moose","Beverley Moose Creek",2015
"144","NerkaBear","Nerka Bear Creek",2015
"145","Pick","Nerka Pick Creek",2015
"146","Rainbow","Nerka Rainbow Creek",2015
"147","Sam","Nerka Sam Creek",2015
"148","Seventh","Nerka Seventh Creek",2015
"149","SilverSalmon","Aleknagik Silver Salmon Creek",2015
"150","Teal","Nerka Teal Creek",2015
"151","Whitefish","Aleknagik Big Whitefish Creek",2015
"152","Yako","Aleknagik Yako Creek",2015
"153","Allah","Nerka Allah Creek",2016
"154","Bear","Aleknagik Bear Creek",2016
"155","Berm","Nerka Berm Creek",2016
"156","C","Little Togiak C Creek",2016
"157","Cabin","Nerka Cabin Creek",2016
"158","Chamee","Nerka Chamee Creek",2016
"159","Cottonwood","Nerka Cottonwood Creek",2016
"160","Eagle","Aleknagik Eagle Creek",2016
"161","Elva","Nerka Elva Creek",2016
"162","Fenno","Nerka Fenno Creek",2016
"163","Fifer","Aleknagik Pfifer Creek",2016
"164","Grant","Kulik Grant River",2016
"165","Hansen","Aleknagik Hansen Creek",2016
"166","Happy","Aleknagik Happy Creek",2016
"167","Hidden","Nerka Hidden Lake Creek",2016
"168","Hope","Beverley Hope Creek",2016
"169","Joe","Nerka Joe Creek",2016
"170","Kema","Nerka Kema Creek",2016
"171","KulikCr","Kulik Kulik Creek",2016
"172","LTC","Little Togiak Creek",2016
"173","Lynx","Nerka Lynx Creek",2016
"174","LynxCold","Nerka Lynx Creek Cold Tributary",2016
"175","Mission","Aleknagik Mission Creek",2016
"176","Moose","Beverley Moose Creek",2016
"177","MooseSpit",NA,2016
"178","N4","Nerka N4 Creek",2016
"179","NerkaBear","Nerka Bear Creek",2016
"180","Pick","Nerka Pick Creek",2016
"181","Rainbow","Nerka Rainbow Creek",2016
"182","Sam","Nerka Sam Creek",2016
"183","Seventh","Nerka Seventh Creek",2016
"184","SilverSalmon","Aleknagik Silver Salmon Creek",2016
"185","Squaw","Aleknagik Squaw Creek",2016
"186","Stovall","Nerka Stovall Creek",2016
"187","Teal","Nerka Teal Creek",2016
"188","Uno","Beverley Uno Creek",2016
"189","Whitefish","Aleknagik Big Whitefish Creek",2016
"190","Yako","Aleknagik Yako Creek",2016
"191","Youth","Aleknagik Youth Creek",2016
