"","Site","seq_id","Agency_ID","SourceName","Contact_person","Contact_email","Contact_telephone","Latitude","Longitude","Waterbody_name","Sensor_accuracy","file_name","Sensor_Placement","Waterbody_type","Sensor_QAQC","Name","HUC8","Region","deshka","subset1","subset2","subset3"
"15","accs_mutsk09",761,"mutsk09","uaaAKNHP","Dan Bogan","dlbogan@uaa.alaska.edu","907-786-4964",59.81045,-155.61197,"Tributary to Koktuli River 1","level 1  ( +/- 0.25 deg C)","accs_bbMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"16","cik_Ben Courtney Creek",NA,"Ben Courtney Creek","CIK","Sue Mauger",NA,NA,59.272417,-156.357567,"Ben Courtney Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,0,0
"17","cik_Big Creek",1784,"Big Creek","CIK","Sue Mauger",NA,NA,59.975,-154.846,"Big Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,0
"18","cik_Big Creek_Naknek",1998,"Big Creek_Naknek","CIK","Sue Mauger",NA,NA,58.63348,-156.61507,"Big Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Naknek",19030204,"Bristol Bay",0,1,0,0
"19","cik_Copper River",1828,"Copper River","CIK","Sue Mauger",NA,NA,59.50208,-154.46576,"Copper River",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,1,0
"20","cik_Gibraltar River",1829,"Gibraltar River","CIK","Sue Mauger",NA,NA,59.42944,-154.83261,"Gibraltar Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,1,0
"21","cik_Lost Dog Creek",1830,"Lost Dog Creek","CIK","Sue Mauger",NA,NA,60.491,-156.88458,"Lost Dog Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Upper Nushagak River",19030301,"Bristol Bay",0,1,0,0
"22","cik_McGeary Creek",1831,"McGeary Creek","CIK","Sue Mauger",NA,NA,60.42716,-156.74139,"McGeary Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Upper Nushagak River",19030301,"Bristol Bay",0,1,0,0
"23","cik_Napotoli Creek",1373,"Napotoli Creek","CIK","Sue Mauger",NA,NA,59.75672,-157.41901,"Napotoli Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Upper Nushagak River",19030301,"Bristol Bay",0,1,1,1
"24","cik_Neilson Creek",1365,"Neilson Creek","CIK","Sue Mauger",NA,NA,59.1522,-158.63428,"Neilson Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Wood River",19030304,"Bristol Bay",0,1,1,0
"25","cik_Panaruqak Creek",1370,"Panaruqak Creek","CIK","Sue Mauger",NA,NA,59.45447,-157.31436,"Panaruqak Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Lower Nushagak River",19030303,"Bristol Bay",0,1,1,0
"26","cik_Roadhouse Creek",NA,"Roadhouse Creek","CIK","Sue Mauger",NA,NA,59.7573,-154.8499,"Roadhouse Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,0,0
"27","cik_Silver Salmon Creek",1367,"Silver Salmon Creek","CIK","Sue Mauger",NA,NA,59.22543,-158.67343,"Silver Salmon Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"28","cik_Sivanguq Creek",1372,"Sivanguq Creek","CIK","Sue Mauger",NA,NA,59.72696,-157.33818,"Sivanguq Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Upper Nushagak River",19030301,"Bristol Bay",0,1,1,1
"29","cik_Squaw Creek",1363,"Squaw Creek","CIK","Sue Mauger",NA,NA,59.043,-158.54695,"Squaw Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Lower Nushagak River",19030303,"Bristol Bay",0,1,1,0
"30","cik_Tunravik Creek",1371,"Tunravik Creek","CIK","Sue Mauger",NA,NA,59.47933,-157.25899,"Tunravik Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Lower Nushagak River",19030303,"Bristol Bay",0,1,0,0
"31","cik_Yellow Creek",1616,"Yellow Creek","CIK","Sue Mauger",NA,NA,59.1947,-156.703333,"Yellow Creek",NA,"cik_bbMetadata2021-06-03.csv",NA,"S",NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,1,1
"32","fws_580223156504200",1833,"580223156504200","fwsAlaskaWRD","Meg Perdue",NA,NA,58.03972,-156.84583,"Egegik River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Egegik Bay",19030203,"Bristol Bay",0,1,1,1
"33","fws_GELO",1348,"GELO","fwsakTogiakNWR","Doug Holt",NA,NA,59.36705,-160.34961,"Gechiak River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,1,1
"34","fws_KULR",1339,"KULR","fwsakTogiakNWR","Doug Holt",NA,NA,59.038453,-159.775178,"Kulukak River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,1,1
"35","fws_MALR",1338,"MALR","fwsakTogiakNWR","Doug Holt",NA,NA,58.929731,-160.847661,"Matogak River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,0,0
"36","fws_NCLO",1345,"NCLO","fwsakTogiakNWR","Doug Holt",NA,NA,59.273435,-160.003203,"Nichols Creek",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,1,1
"37","fws_Newhalen River",1571,"Newhalen River","FWS - Alaska Region Office of Subsistence Management","Don Rivard",NA,NA,59.91904,-154.8859,"Newhalen River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,1
"38","fws_OSLR",1337,"OSLR","fwsakTogiakNWR","Doug Holt",NA,NA,58.8785,-161.193066666667,"Osviak River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,0,0
"39","fws_OSLR2",NA,"OSLR2","fwsakTogiakNWR","Doug Holt",NA,NA,58.878497,-161.193039,"Osviak River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,1,1
"40","fws_PULO",1346,"PULO","fwsakTogiakNWR","Doug Holt",NA,NA,59.292777,-159.923683,"Pungokepuk Creek",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,1,1
"41","fws_PULR",1342,"PULR","fwsakTogiakNWR","Doug Holt",NA,NA,59.259683,-160.190949,"Pungokepuk Creek",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,1,1
"42","fws_SLLR",1336,"SLLR","fwsakTogiakNWR","Doug Holt",NA,NA,58.647972,-161.733603,"Slug River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,1,1
"43","fws_TOLO",1351,"TOLO","fwsakTogiakNWR","Doug Holt",NA,NA,59.52945,-159.712756,"Togiak River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Togiak",19030305,"Bristol Bay",0,1,1,1
"44","fws_TOLR",1344,"TOLR","fwsakTogiakNWR","Doug Holt",NA,NA,59.26595,-159.146166666667,"Weary River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Nushagak Bay",19030306,"Bristol Bay",0,1,1,1
"45","fws_WELR",1341,"WELR","fwsakTogiakNWR","Doug Holt",NA,NA,59.2241333333333,-159.125116666667,"Weary River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Nushagak Bay",19030306,"Bristol Bay",0,1,0,0
"46","fws_WELR2",NA,"WELR2","fwsakTogiakNWR","Doug Holt",NA,NA,59.224131,-159.125008,"Weary River",NA,"fws_bbMetadata2021-06-03.csv","Main channel","S",NA,"Nushagak Bay",19030306,"Bristol Bay",0,1,1,1
"47","nps_KATM_idavc_stream_water",1881,"KATM_idavc_stream_water","npsSWAN","Krista Bartz","krista_bartz@nps.gov","907-644-3685",58.66621,-155.67084,"Idavain Creek","level 1  ( +/- 0.25 deg C)","nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Naknek",19030204,"Bristol Bay",0,1,1,1
"48","nps_KATM_lbrooo",1630,"KATM_lbrooo_temp","npsSWAN","Krista Bartz","krista_bartz@nps.gov","907-644-3685",58.5478,-155.795322,"Lake Brooks","level 1  ( +/- 0.25 deg C)","nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Naknek",19030204,"Bristol Bay",0,1,1,1
"49","nps_KATM_margc_stream_water",1877,"KATM_margc_stream_water","npsSWAN","Krista Bartz","krista_bartz@nps.gov","907-644-3685",58.4859344835,-155.577723084,"Margot Creek","level 1  ( +/- 0.25 deg C)","nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Naknek",19030204,"Bristol Bay",0,1,1,1
"50","nps_KATM_naknlo",1632,"KATM_naknlo_temp","npsSWAN","Krista Bartz","krista_bartz@nps.gov","907-644-3685",58.68184,-156.43503,"Naknek Lake","level 1  ( +/- 0.25 deg C)","nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Naknek",19030204,"Bristol Bay",0,1,0,0
"51","nps_KATM_savor_stream_water",NA,"KATM_savor_stream_water","npsSWAN","Krista Bartz",NA,NA,58.5295,-155.30368,"Savonoski River",NA,"nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Naknek",19030204,"Bristol Bay",0,1,1,0
"52","nps_KATM_upatc_stream_water",1879,"KATM_upatc_stream_water","npsSWAN","Krista Bartz","krista_bartz@nps.gov","907-644-3685",58.5113383745,-155.803890375,"Up-A-Tree Creek","level 1  ( +/- 0.25 deg C)","nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Naknek",19030204,"Bristol Bay",0,1,1,1
"53","nps_LACL_kijilo",1636,"LACL_kijilo_temp","npsSWAN","Krista Bartz","krista_bartz@nps.gov","907-644-3685",60.30716,-154.2906,"Kijik Lake","level 1  ( +/- 0.25 deg C)","nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Lake Clark",19030205,"Bristol Bay",0,1,0,0
"54","nps_LACL_lclaro",1634,"LACL_lclaro_temp","npsSWAN","Krista Bartz","krista_bartz@nps.gov","907-644-3685",60.01606,-154.75417,"Lake Clark","level 1  ( +/- 0.25 deg C)","nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Lake Clark",19030205,"Bristol Bay",0,1,0,0
"55","nps_LACL_tazir_stream_water",1891,"LACL_tazir_stream_water","npsSWAN","Krista Bartz","krista_bartz@nps.gov","907-644-3685",59.934737,-154.835196,"Tazimina River","level 1  ( +/- 0.25 deg C)","nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,1
"56","nps_LACL_tlikr_stream_water",1893,"LACL_tlikr_stream_water","npsSWAN","Krista Bartz",NA,NA,60.49937,-153.68665,"Tlikikila River",NA,"nps_kbMetadata2021-06-14.csv",NA,"S",NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,1
"57","NPS_Chulitna_SiteB",778,"Chulitna River","npsakLakeClarkNP","Dan Young","dan_young@nps.gov","907-644-3629",60.18552667,-154.8296432,"Chulitna River","level 1  ( +/- 0.25 deg C)","nps_dyMetadata2021-04-05.csv",NA,NA,NA,"Lake Clark",19030205,"Bristol Bay",0,1,0,0
"58","NPS_Hardenburg_Bay",781,"Hardenburg Bay","npsakLakeClarkNP","Dan Young","dan_young@nps.gov","907-644-3629",60.204378,-154.307097,"Lake Clark","level 1  ( +/- 0.25 deg C)","nps_dyMetadata2021-04-05.csv",NA,NA,NA,"Lake Clark",19030205,"Bristol Bay",0,1,0,0
"59","NPS_Little_Kijik_River_Dan",789,"Little Kijik River below Kijik Lake","npsakLakeClarkNP","Dan Young","dan_young@nps.gov","907-644-3629",60.307515,-154.294991,"Little Kijik River","level 1  ( +/- 0.25 deg C)","nps_dyMetadata2021-04-05.csv",NA,NA,NA,"Lake Clark",19030205,"Bristol Bay",0,1,0,0
"60","NPS_Newhalen_River",766,"Newhalen River","npsakLakeClarkNP","Dan Young","dan_young@nps.gov","907-644-3629",59.919518,-154.885521,"Newhalen River","level 1  ( +/- 0.25 deg C)","nps_dyMetadata2021-04-05.csv",NA,NA,NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,1
"61","NPS_Six_Mile_Outlet",770,"Sixmile Lake outlet","npsakLakeClarkNP","Dan Young","dan_young@nps.gov","907-644-3629",59.9463,-154.862584,"Sixmile Lake","level 1  ( +/- 0.25 deg C)","nps_dyMetadata2021-04-05.csv",NA,NA,NA,"Lake Clark",19030205,"Bristol Bay",0,1,0,0
"62","usgs_15298040",1056,"15298040","USGS","Jeff Conaway",NA,NA,60.2036591,-154.7044349,"CHULITNA R 5MI AB MOUTH NR PORT ALSWORTH AK","level 2  ( +/- 0.5 deg C)","usgsMetadata2021-06-03.csv","Main channel","S",NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,1
"63","usgs_15300100",1052,"15300100","USGS","Jeff Conaway",NA,NA,59.8237617,-154.8844049,"BEAR C NR ILIAMNA AK","level 2  ( +/- 0.5 deg C)","usgsMetadata2021-06-03.csv","Main channel","S",NA,"Lake Clark",19030205,"Bristol Bay",0,1,1,1
"64","usgs_15300250",1049,"15300250","USGS","Jeff Conaway",NA,NA,59.7859761,-155.2552406,"UPPER TALARIK C NR ILIAMNA AK","level 2  ( +/- 0.5 deg C)","usgsMetadata2021-06-03.csv","Main channel","S",NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,1,1
"65","usgs_15300270",1053,"15300270","USGS","Jeff Conaway",NA,NA,59.84155048,-154.3796745,"CHEKOK C NR PEDRO BAY AK","level 2  ( +/- 0.5 deg C)","usgsMetadata2021-06-03.csv","Main channel","S",NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,1,0
"66","usgs_15300300",1669,"15300300","USGS","Jeff Conaway",NA,NA,59.7579499,-153.8468866,"ILIAMNA R NR PEDRO BAY AK","level 2  ( +/- 0.5 deg C)","usgsMetadata2021-06-03.csv","Main channel","S",NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,1,1
"67","usgs_15300320",1047,"15300320","USGS","Jeff Conaway",NA,NA,59.70379507,-153.712188,"CHINKELYES C BL SUMMIT LK NR PEDRO BAY AK","level 2  ( +/- 0.5 deg C)","usgsMetadata2021-06-03.csv","Main channel","S",NA,"Lake Iliamna",19030206,"Bristol Bay",0,1,1,1
"68","usgs_15301500",NA,"15301500","USGS",NA,NA,NA,60.1539944,-158.7366923,"ALLEN R NR ALEKNAGIK AK",NA,"usgsMetadata2021-06-03.csv",NA,NA,NA,"Upper Nushagak River",19030301,"Bristol Bay",0,1,1,1
"69","usgs_15302000",1681,"15302000","USGS","Jeff Conaway",NA,NA,59.93483,-158.1900062,"NUYAKUK R NR DILLINGHAM AK","level 2  ( +/- 0.5 deg C)","usgsMetadata2021-06-03.csv","Main channel","S",NA,"Upper Nushagak River",19030301,"Bristol Bay",0,1,1,1
"70","usgs_15302200",1050,"15302200","USGS","Jeff Conaway",NA,NA,59.7926376,-155.5246895,"KOKTULI R NR ILIAMNA AK","level 2  ( +/- 0.5 deg C)","usgsMetadata2021-06-03.csv","Main channel","S",NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"71","usgs_15302250",1054,"15302250","USGS","Jeff Conaway",NA,NA,59.8424682,-155.7185564,"NF KOKTULI R NR ILIAMNA AK","level 2  ( +/- 0.5 deg C)","usgsMetadata2021-06-03.csv","Main channel","S",NA,"Mulchatna River",19030302,"Bristol Bay",0,1,1,1
"72","usgs_15302300",NA,"15302300","USGS",NA,NA,NA,59.8376227,-156.6938693,"MULCHATNA R AB STUYAHOK R NR NEW STUYAHOK AK",NA,"usgsMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,0,0
"73","usgs_15302320",NA,"15302320","USGS",NA,NA,NA,59.80901149,-156.6669229,"STUYAHOK R NR NEW STUYAHOK AK",NA,"usgsMetadata2021-06-03.csv",NA,NA,NA,"Mulchatna River",19030302,"Bristol Bay",0,1,0,0
"74","usgs_15302812",NA,"15302812","USGS",NA,NA,NA,59.415,-157.8041667,"KOKWOK R 22 MI AB NUSHAGAK R NR EKWOK AK",NA,"usgsMetadata2021-06-03.csv",NA,NA,NA,"Lower Nushagak River",19030303,"Bristol Bay",0,1,1,1
"75","UW_Aleknagik Bear Creek",NA,NA,"uwASP",NA,NA,NA,59.295787,-158.778379,NA,NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"76","UW_Aleknagik Big Whitefish Creek",NA,NA,"uwASP",NA,NA,NA,59.265797,-158.681275,"Whitefish",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"77","UW_Aleknagik Eagle Creek",NA,NA,"uwASP",NA,NA,NA,59.3171212,-158.694184,"Eagle",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"78","UW_Aleknagik Hansen Creek",NA,NA,"uwASP",NA,NA,NA,59.321524,-158.701816,"Hansen",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"79","UW_Aleknagik Happy Creek",NA,NA,"uwASP",NA,NA,NA,59.323232,-158.717744,NA,NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"80","UW_Aleknagik Ice Creek",NA,NA,"uwASP",NA,NA,NA,59.33165,-158.814027,"Ice",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"81","UW_Aleknagik Mission Creek",NA,NA,"uwASP",NA,NA,NA,59.274915,-158.599688,"Mission",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"82","UW_Aleknagik Pfifer Creek",NA,NA,"uwASP",NA,NA,NA,59.20665,-158.667514,"Pfifer",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"83","UW_Aleknagik Silver Salmon Creek",NA,NA,"uwASP",NA,NA,NA,59.22548,-158.673937,"Silver Salmon",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"84","UW_Aleknagik Yako Creek",NA,NA,"uwASP",NA,NA,NA,59.274879,-158.708334,"Yako",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"85","UW_Beverley Hope Creek",NA,NA,"uwASP",NA,NA,NA,59.646153,-158.600091,"Hope",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"86","UW_Beverley Moose Creek",NA,NA,"uwASP",NA,NA,NA,59.63907,-158.584173,"Moose",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"87","UW_Beverley Uno Creek",NA,NA,"uwASP",NA,NA,NA,59.6909,-158.75479,"Uno",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,0
"88","UW_Kulik Grant River",NA,NA,"uwASP",NA,NA,NA,59.786838,-158.714485,"Grant",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"89","UW_Kulik K-3 Creek",NA,NA,"uwASP",NA,NA,NA,59.79739,-158.946055,"K3",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"90","UW_Kulik Kulik Creek",NA,NA,"uwASP",NA,NA,NA,59.779325,-159.001315,"Kulik Creek",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,0
"91","UW_Little Togiak C Creek",NA,NA,"uwASP",NA,NA,NA,59.582279,-159.153905,"C",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"92","UW_Little Togiak Creek",NA,NA,"uwASP",NA,NA,NA,59.620165,-159.217037,"Little Togiak Creek",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"93","UW_Nerka Allah Creek",NA,NA,"uwASP",NA,NA,NA,59.42976,-158.65941,"Allah",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"94","UW_Nerka Bear Creek",NA,NA,"uwASP",NA,NA,NA,59.470019,-158.665864,"Bear (Nerka) Creek",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"95","UW_Nerka Berm Creek",NA,NA,"uwASP",NA,NA,NA,59.598938,-158.81484,NA,NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"96","UW_Nerka Cabin Creek",NA,NA,"uwASP",NA,NA,NA,59.595289,-158.847155,NA,NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"97","UW_Nerka Chamee Creek",NA,NA,"uwASP",NA,NA,NA,59.543319,-158.751488,"Chamee Creek",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,0,0
"98","UW_Nerka Cottonwood Creek",NA,NA,"uwASP",NA,NA,NA,59.625638,-159.079365,"Cottonwood Creek",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"99","UW_Nerka Elva Creek",NA,NA,"uwASP",NA,NA,NA,59.581381,-159.055091,"Elva",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"100","UW_Nerka Fenno Creek",NA,NA,"uwASP",NA,NA,NA,59.421831,-158.81088,"Fenno",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
"101","UW_Nerka Hidden Lake Creek",NA,NA,"uwASP",NA,NA,NA,59.53995,-158.767329,"Hidden",NA,"UWMetadata2021-06-14.csv",NA,NA,NA,"Wood River",19030304,"Bristol Bay",0,1,1,1
