"","SiteID","NumberYears","Latitude","Longitude"
"49","UW_Aleknagik Ice Creek",6,59.33165,-158.814027
"50","cik_Napotoli Creek",6,59.75672,-157.41901
"51","cik_Yellow Creek",6,59.1947,-156.703333
"52","UW_Aleknagik Happy Creek",7,59.323232,-158.717744
"53","UW_Aleknagik Mission Creek",7,59.274915,-158.599688
"54","UW_Beverley Hope Creek",7,59.646153,-158.600091
"55","UW_Beverley Uno Creek",7,59.6909,-158.75479
"56","UW_Nerka Cabin Creek",7,59.595289,-158.847155
"57","UW_Nerka Cottonwood Creek",7,59.625638,-159.079365
"58","UW_Nerka Elva Creek",7,59.581381,-159.055091
"59","UW_Nerka Fenno Creek",7,59.421831,-158.81088
"60","accs_iltnr19",7,59.90227,-154.89095
"61","accs_muekm23",7,59.8254299999999,-155.3571
"62","accs_mussm15",7,59.79815,-155.51123
"63","accs_mutsk02",7,59.817,-155.764919999999
"64","accs_mutsk09",7,59.81045,-155.61197
"65","nps_KATM_margc_stream_water",7,58.4859344835,-155.577723084
"66","nps_KATM_upatc_stream_water",7,58.5113383745,-155.803890375
"67","nps_LACL_tazir_stream_water",7,59.934737,-154.835196
"68","usgs_15298040",7,60.2036591,-154.7044349
"69","UW_Aleknagik Pfifer Creek",8,59.20665,-158.667514
"70","UW_Aleknagik Yako Creek",8,59.274879,-158.708334
"71","UW_Kulik K-3 Creek",8,59.79739,-158.946055
"72","UW_Little Togiak C Creek",8,59.582279,-159.153905
"73","UW_Nerka Allah Creek",8,59.42976,-158.65941
"74","UW_Nerka Pick Creek",8,59.550053,-159.064001
"75","UW_Nerka Seventh Creek",8,59.579615,-158.914344
"76","usgs_15300300",8,59.7579499,-153.8468866
"77","usgs_15302000",8,59.93483,-158.1900062
"78","UW_Agulukpak River",9,59.576285,-158.532078
"79","UW_Aleknagik Big Whitefish Creek",9,59.265797,-158.681275
"80","UW_Aleknagik Eagle Creek",9,59.3171212,-158.694184
"81","UW_Aleknagik Silver Salmon Creek",9,59.22548,-158.673937
"82","UW_Beverley Moose Creek",9,59.63907,-158.584173
"83","UW_Nerka Berm Creek",9,59.598938,-158.81484
"84","UW_Nerka Hidden Lake Creek",9,59.53995,-158.767329
"85","UW_Nerka Kema Creek",9,59.545584,-158.656191
"86","UW_Nerka Lynx Creek Cold Tributary",9,59.493917,-158.897689
"87","UW_Nerka Sam Creek",9,59.58922,-158.89537
"88","UW_Nerka Stovall Creek",9,59.458751,-158.635026
"89","UW_Nerka Teal Creek",9,59.480963,-158.729867
"90","nps_KATM_naknlo",9,58.68184,-156.43503
"91","UW_Aleknagik Bear Creek",10,59.295787,-158.778379
"92","UW_Aleknagik Hansen Creek",10,59.321524,-158.701816
"93","UW_Nerka Bear Creek",10,59.470019,-158.665864
"94","UW_Nerka Joe Creek",10,59.59677,-158.87573
"95","UW_Nerka Lynx Creek",10,59.485329,-158.920334
"96","UW_Nerka Rainbow Creek",10,59.664336,-159.156064
"97","fws_OSLR2",10,58.878497,-161.193039
"98","fws_WELR2",10,59.224131,-159.125008
"99","nps_KATM_lbrooo",10,58.5478,-155.795322
"100","NPS_Newhalen_River",11,59.919518,-154.885521
"101","usgs_15300250",11,59.7859761,-155.2552406
"102","fws_Newhalen River",12,59.91904,-154.8859
"103","usgs_15300100",12,59.8237617,-154.8844049
"104","usgs_15302250",12,59.8424682,-155.7185564
"105","usgs_15302200",14,59.7926376,-155.5246895
"106","fws_GELO",15,59.36705,-160.34961
"107","fws_PULR",16,59.259683,-160.190949
"108","fws_SLLR",16,58.647972,-161.733603
"109","fws_TOLR",16,59.26595,-159.146166666667
"110","fws_PULO",17,59.292777,-159.923683
"111","fws_TOLO",17,59.52945,-159.712756
"112","fws_KULR",18,59.038453,-159.775178
"113","fws_NCLO",18,59.273435,-160.003203
